yourlist:M202206216320BA52A5CE8FCD097CB85A53697A355200ED8	Cluster ID	Cluster name	Cluster members	Organisms	Length	Organism IDs
UniRef100_A0A367FYG2	UniRef100_A0A367FYG2	Cluster: Stage V sporulation protein AE	A0A367FYG2	Blautia obeum	118	40520
UniRef100_A0A136WFX6	UniRef100_A0A136WFX6	Cluster: SpoVA protein	A0A136WFX6	Anaerotignum neopropionicum	118	36847
UniRef100_A0A7X9D015	UniRef100_A0A7X9D015	Cluster: Stage V sporulation protein AE	A0A7X9D015	Clostridium sp.	118	1506
UniRef100_A0A354J3W2	UniRef100_A0A354J3W2	Cluster: Stage V sporulation protein AE	A0A354J3W2	Lachnospiraceae bacterium	118	1898203
UniRef100_UPI000983B989	UniRef100_UPI000983B989	Cluster: stage V sporulation protein AE	UPI000983B989	Clostridium saccharobutylicum	117	169679
UniRef100_A0A8F2F001	UniRef100_A0A8F2F001	Cluster: Stage V sporulation protein AE	A0A8F2F001	Eubacterium sp. MSJ-33	119	2841528
UniRef100_A0A511X3L6	UniRef100_A0A511X3L6	Cluster: Stage V sporulation protein AE	A0A511X3L6	Halolactibacillus alkaliphilus	118	442899
UniRef100_A0A1C5PLP9	UniRef100_A0A1C5PLP9	Cluster: Stage V sporulation protein AE	A0A1C5PLP9	uncultured Clostridium sp.	118	59620
UniRef100_A0A4U7JF74	UniRef100_A0A4U7JF74	Cluster: Stage V sporulation protein AE	A0A4U7JF74	Ruminiclostridium herbifermentans	118	2488810
UniRef100_A0A3C0WAX1	UniRef100_A0A3C0WAX1	Cluster: Stage V sporulation protein AE	A0A3C0WAX1	Oscillospiraceae bacterium	118	2485925
UniRef100_A0A078KRK3	UniRef100_A0A078KRK3	Cluster: Putative membrane protein	A0A078KRK3	[Clostridium] cellulosi	118	29343
UniRef100_A0A1Y3TFV8	UniRef100_A0A1Y3TFV8	Cluster: Stage V sporulation protein AE	A0A1Y3TFV8	Lachnoclostridium sp. An76	118	1965654
UniRef100_A0A386H2C8	UniRef100_A0A386H2C8	Cluster: Stage V sporulation protein AE	A0A386H2C8	Clostridium fermenticellae	119	2068654
UniRef100_A0A1C5R1R8	UniRef100_A0A1C5R1R8	Cluster: Stage V sporulation protein AE	A0A1C5R1R8; A0A396NR22; A0A3R6SE34; A0A416YSL5	uncultured Clostridium sp.; Clostridium sp. AM30-24; Clostridium sp. AF12-19; Clostridium sp. AF12-28	118	59620; 2292303; 2292200; 2292201
UniRef100_A0A1S6IUT9	UniRef100_A0A1S6IUT9	Cluster: Stage V sporulation protein AE	A0A1S6IUT9	Desulfotomaculum ferrireducens	117	1833852
UniRef100_A0A7U6QI01	UniRef100_A0A7U6QI01	Cluster: Stage V sporulation protein AE	A0A7U6QI01	Lachnospiraceae bacterium KM106-2	118	2093742
UniRef100_UPI00059EB3DC	UniRef100_UPI00059EB3DC	Cluster: stage V sporulation protein AE	UPI00059EB3DC	Desulfofundulus sp. TPOSR	118	2714340
UniRef100_UPI001184ACA8	UniRef100_UPI001184ACA8	Cluster: SpoVA/SpoVAEb family sporulation membrane protein	UPI001184ACA8	Lacrimispora amygdalina	118	253257
UniRef100_UPI00164A45F2	UniRef100_UPI00164A45F2	Cluster: stage V sporulation protein AE	UPI00164A45F2	Agathobaculum sp. M2	118	2763014
UniRef100_A0A7G9G9Q6	UniRef100_A0A7G9G9Q6	Cluster: SpoVA/SpoVAEb family sporulation membrane protein	A0A7G9G9Q6	Lachnospiraceae bacterium NSJ-29	118	2763667
UniRef100_A0A3D8P363	UniRef100_A0A3D8P363	Cluster: Stage V sporulation protein AE	A0A3D8P363	Ammonifex thiophilus	118	444093
UniRef100_A0A1Q6LEI7	UniRef100_A0A1Q6LEI7	Cluster: Stage V sporulation protein AE	A0A1Q6LEI7	Clostridium sp. 27_14	130	1896979
UniRef100_A0A3A9FQ71	UniRef100_A0A3A9FQ71	Cluster: SpoVA/SpoVAEb family sporulation membrane protein	A0A3A9FQ71	bacterium 1XD42-54	119	2320110
UniRef100_A0A7U9SZH6	UniRef100_A0A7U9SZH6	Cluster: Uncharacterized protein	A0A7U9SZH6	Lachnospiraceae bacterium	119	1898203
UniRef100_R5SRN8	UniRef100_R5SRN8	Cluster: Stage V sporulation protein AE	R5SRN8	Clostridium sp. CAG:1219	119	1262772
UniRef100_A0A1C6AQS6	UniRef100_A0A1C6AQS6	Cluster: Stage V sporulation protein AE	A0A1C6AQS6	uncultured Clostridium sp.	121	59620
UniRef100_A0A1M6PCB9	UniRef100_A0A1M6PCB9	Cluster: Stage V sporulation protein AE	A0A1M6PCB9	Desulfotomaculum aeronauticum DSM 10349	117	1121421
UniRef100_A0A7X8JXI7	UniRef100_A0A7X8JXI7	Cluster: Stage V sporulation protein AE	A0A7X8JXI7	Clostridiaceae bacterium	123	1898204
UniRef100_A0A212LRV6	UniRef100_A0A212LRV6	Cluster: Stage V sporulation protein AEB	A0A212LRV6; A0A1U7MLG5; UPI000950BCA9	uncultured Sporomusa sp.; Sporomusa sphaeroides DSM 2875; Sporomusa	117	307249; 1337886; 2375
UniRef100_A0A414B6Q4	UniRef100_A0A414B6Q4	Cluster: Stage V sporulation protein AE	A0A414B6Q4	Anaerobutyricum hallii	118	39488
UniRef100_UPI0003F8315B	UniRef100_UPI0003F8315B	Cluster: stage V sporulation protein AE	UPI0003F8315B	Desulfovirgula thermocuniculi	118	348842
UniRef100_A0A494WX40	UniRef100_A0A494WX40	Cluster: Stage V sporulation protein AE	A0A494WX40	Desulfofundulus salinum	118	2419843
UniRef100_A0A416AKB6	UniRef100_A0A416AKB6	Cluster: SpoVA/SpoVAEb family sporulation membrane protein	A0A416AKB6; A0A412S662	Ruminococcus sp. AF45-4BH; Ruminococcus sp. AF17-22AC	118	2292071; 2292248
UniRef100_A0A3A9ENH6	UniRef100_A0A3A9ENH6	Cluster: Stage V sporulation protein AE	A0A3A9ENH6	Acutalibacter sp. 1XD8-33	118	2320081
UniRef100_R6RC37	UniRef100_R6RC37	Cluster: Stage V sporulation protein AE	R6RC37	Firmicutes bacterium CAG:424	118	1263022
UniRef100_A0A1Q9JVM0	UniRef100_A0A1Q9JVM0	Cluster: Stage V sporulation protein AE	A0A1Q9JVM0	Anaerostipes sp. 494a	118	1261636
UniRef100_U4R2X9	UniRef100_U4R2X9	Cluster: Stage V sporulation protein AEB	U4R2X9; H2JHB2	Ruminiclostridium papyrosolvens C7; Clostridium sp. BNL1100	118	1330534; 755731
UniRef100_UPI001AA37660	UniRef100_UPI001AA37660	Cluster: stage V sporulation protein AE	UPI001AA37660	Clostridium polyendosporum	119	69208
UniRef100_R6YP47	UniRef100_R6YP47	Cluster: Stage V sporulation protein AE	R6YP47; A0A1Q6KIQ4	Clostridium sp. CAG:356; Clostridium sp. 28_12	128	1262800; 1896980
UniRef100_A0A0A0IPS9	UniRef100_A0A0A0IPS9	Cluster: Stage V sporulation protein AEB	A0A0A0IPS9	Clostridium novyi A str. 4570	118	1444290
UniRef100_A0A226BY69	UniRef100_A0A226BY69	Cluster: Stage V sporulation protein AE	A0A226BY69	Natranaerobius trueperi	123	759412
UniRef100_A0A4R1R4R7	UniRef100_A0A4R1R4R7	Cluster: Stage V sporulation protein AE	A0A4R1R4R7	Kineothrix alysoides	118	1469948
UniRef100_A0A1M5Y2N9	UniRef100_A0A1M5Y2N9	Cluster: Stage V sporulation protein AE	A0A1M5Y2N9	Clostridium intestinale DSM 6191	119	1121320
UniRef100_C0EAV8	UniRef100_C0EAV8	Cluster: Stage V sporulation protein AE	C0EAV8	[Clostridium] methylpentosum DSM 5476	126	537013
UniRef100_A0A355JHB6	UniRef100_A0A355JHB6	Cluster: Stage V sporulation protein AE	A0A355JHB6	Clostridiales bacterium	118	1898207
UniRef100_UPI000C7964CD	UniRef100_UPI000C7964CD	Cluster: stage V sporulation protein AE	UPI000C7964CD	Lachnoclostridium edouardi	118	1926283
UniRef100_A0A414ELH5	UniRef100_A0A414ELH5	Cluster: SpoVA/SpoVAEb family sporulation membrane protein	A0A414ELH5; D4LRL3	Blautia obeum; Blautia obeum A2-162	118	40520; 657314
UniRef100_UPI001570912B	UniRef100_UPI001570912B	Cluster: stage V sporulation protein AE	UPI001570912B	Blautia	118	572511
UniRef100_R5PT90	UniRef100_R5PT90	Cluster: Stage V sporulation protein AE	R5PT90	Clostridium sp. CAG:780	128	1262839
UniRef100_U5MXR7	UniRef100_U5MXR7	Cluster: Stage V sporulation protein AEB	U5MXR7	Clostridium saccharobutylicum DSM 13864	117	1345695
UniRef100_A0A1C0BKF5	UniRef100_A0A1C0BKF5	Cluster: Stage V sporulation protein AE	A0A1C0BKF5; A0A6N8I2E8	Clostridium sp. W14A; Caproicibacter fermentans	118	1849176; 2576756
UniRef100_A0A7G9G217	UniRef100_A0A7G9G217	Cluster: SpoVA/SpoVAEb family sporulation membrane protein	A0A7G9G217	Lachnospiraceae bacterium NSJ-38	118	2763669
UniRef100_A0A1S8MTL4	UniRef100_A0A1S8MTL4	Cluster: SpoVA protein	A0A1S8MTL4	Clostridium saccharobutylicum	117	169679
UniRef100_UPI000EC10563	UniRef100_UPI000EC10563	Cluster: stage V sporulation protein AE	UPI000EC10563	Ruthenibacterium lactatiformans	118	1550024
UniRef100_UPI0005EB393F	UniRef100_UPI0005EB393F	Cluster: stage V sporulation protein AE	UPI0005EB393F	Caldicellulosiruptor naganoensis	117	29324
UniRef100_A0A7D6VNY6	UniRef100_A0A7D6VNY6	Cluster: Stage V sporulation protein AE	A0A7D6VNY6	Clostridium intestinale	119	36845
UniRef100_A0A7V6V5B8	UniRef100_A0A7V6V5B8	Cluster: Stage V sporulation protein AE	A0A7V6V5B8	Syntrophomonadaceae bacterium	117	2093811
UniRef100_A0A3B9CFA3	UniRef100_A0A3B9CFA3	Cluster: Stage V sporulation protein AE	A0A3B9CFA3	Lachnospiraceae bacterium	118	1898203
UniRef100_UPI00051C6DCC	UniRef100_UPI00051C6DCC	Cluster: stage V sporulation protein AE	UPI00051C6DCC	Oscillibacter sp. ER4	118	1519439
UniRef100_U2NR00	UniRef100_U2NR00	Cluster: Stage V sporulation protein AE	U2NR00	Clostridium intestinale URNW	120	1294142
UniRef100_UPI00048AD6EF	UniRef100_UPI00048AD6EF	Cluster: stage V sporulation protein AE	UPI00048AD6EF	Ruminococcus sp. FC2018	117	1410617
UniRef100_A0A2N2CU70	UniRef100_A0A2N2CU70	Cluster: Stage V sporulation protein AE	A0A2N2CU70	Firmicutes bacterium HGW-Firmicutes-16	122	2013777
UniRef100_A0A086YLW6	UniRef100_A0A086YLW6	Cluster: Stage V sporulation protein AEB	A0A086YLW6; A0A3D2Q3S0	Peptococcaceae bacterium SCADC1_2_3; Desulfotomaculum sp.	118	1487582; 41211
UniRef100_A0A0M2TZI8	UniRef100_A0A0M2TZI8	Cluster: Stage V sporulation protein AEB	A0A0M2TZI8	Clostridiales bacterium PH28_bin88	118	1605376
UniRef100_UPI00128C4722	UniRef100_UPI00128C4722	Cluster: stage V sporulation protein AE	UPI00128C4722	Bacillus subtilis group	105	653685
UniRef100_A0A373GUB6	UniRef100_A0A373GUB6	Cluster: SpoVA/SpoVAEb family sporulation membrane protein	A0A373GUB6; A0A416EYF4; A0A8B3CEQ2	Blautia sp. AM23-13AC; Blautia sp. AF34-10; Blautia sp. TF12-12AT	118	2292971; 2292968; 2292988
UniRef100_A0A7C6GMH9	UniRef100_A0A7C6GMH9	Cluster: Stage V sporulation protein AE	A0A7C6GMH9	Firmicutes bacterium	119	1879010
UniRef100_A0A252F7N3	UniRef100_A0A252F7N3	Cluster: Stage V sporulation protein AE	A0A252F7N3	Butyricicoccus porcorum	118	1945634
UniRef100_A0A644ZK38	UniRef100_A0A644ZK38	Cluster: Uncharacterized protein	A0A644ZK38	bioreactor metagenome	118	1076179
UniRef100_A0A1C5ZG80	UniRef100_A0A1C5ZG80	Cluster: Stage V sporulation protein AE	A0A1C5ZG80; UPI000D1E61D4	uncultured Butyricicoccus sp.; Eubacteriales	121	1193532; 186802
UniRef100_A0A7C6NXM4	UniRef100_A0A7C6NXM4	Cluster: SpoVA/SpoVAEb family sporulation membrane protein	A0A7C6NXM4	Clostridiales bacterium	118	1898207
UniRef100_UPI001A9BADF5	UniRef100_UPI001A9BADF5	Cluster: stage V sporulation protein AE	UPI001A9BADF5	Anaerotruncus colihominis	122	169435
UniRef100_R5L1D9	UniRef100_R5L1D9	Cluster: Stage V sporulation protein AE	R5L1D9	Clostridium sp. CAG:678	118	1262831
UniRef100_A0A542AME5	UniRef100_A0A542AME5	Cluster: Stage V sporulation protein AE	A0A542AME5	Clostridium sp. KNHs216	118	1550235
UniRef100_A0A6L9H737	UniRef100_A0A6L9H737	Cluster: SpoVA/SpoVAEb family sporulation membrane protein	A0A6L9H737	Clostridiaceae bacterium	118	1898204
UniRef100_A0A1S9I372	UniRef100_A0A1S9I372	Cluster: Stage V sporulation protein AE	A0A1S9I372	Clostridium tepidum	118	1962263
UniRef100_A0A174VB36	UniRef100_A0A174VB36	Cluster: Stage V sporulation protein AE	A0A174VB36; G9YNF2; H1CG62; A0A4R2LQA8	Flavonifractor plautii (Fusobacterium plautii); Flavonifractor plautii ATCC 29863; Lachnospiraceae bacterium 7_1_58FAA; Flavonifractor plautii DSM 6740	123	292800; 411475; 658087; 649753
UniRef100_A0A356UIP1	UniRef100_A0A356UIP1	Cluster: Stage V sporulation protein AE	A0A356UIP1	Desulfotomaculum sp.	118	41211
UniRef100_A0A0M1L1R8	UniRef100_A0A0M1L1R8	Cluster: Stage V sporulation protein AE	A0A0M1L1R8; A7GHV2; A5I6G5; A0A1V9IRP4; A0A175M6U8; A0A829IA75; B1IMG7; A0A2G7HIZ6	Clostridium botulinum; Clostridium botulinum (strain Langeland / NCTC 10281 / Type F); Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A); Clostridium sporogenes; Clostridium botulinum B2 433; Clostridium botulinum CFSAN002367; Clostridium botulinum (strain Okra / Type B1); Clostridium combesii	118	1491; 441772; 441771; 1509; 1379737; 1302425; 498213; 39481
UniRef100_C9R7S8	UniRef100_C9R7S8	Cluster: Stage V sporulation protein AE	C9R7S8	Ammonifex degensii (strain DSM 10501 / KC4)	118	429009
UniRef100_A0A3A8ZUG7	UniRef100_A0A3A8ZUG7	Cluster: SpoVA/SpoVAEb family sporulation membrane protein	A0A3A8ZUG7	bacterium 1xD42-87	118	2320113
UniRef100_A0A5M9I5R8	UniRef100_A0A5M9I5R8	Cluster: SpoVA/SpoVAEb family sporulation membrane protein	A0A5M9I5R8; A0A1Y4BGZ0	Mediterraneibacter catenae; Lachnoclostridium sp. An298	118	2594882; 1965627
UniRef100_A0A096BAJ2	UniRef100_A0A096BAJ2	Cluster: Stage V sporulation protein AE	A0A096BAJ2; U2DDE5	Flavonifractor plautii 1_3_50AFAA; Clostridium sp. ATCC BAA-442	123	742738; 649724
UniRef100_D4LAC7	UniRef100_D4LAC7	Cluster: Stage V sporulation protein AE	D4LAC7	Ruminococcus champanellensis (strain DSM 18848 / JCM 17042 / KCTC 15320 / 18P13)	117	213810
UniRef100_A0A6M0Y2A0	UniRef100_A0A6M0Y2A0	Cluster: Stage V sporulation protein AE	A0A6M0Y2A0; A0A0M1ISN7; A0A6M0SZH9	Clostridium sporogenes; Clostridium sp. L74; Clostridium botulinum	118	1509; 1560217; 1491
UniRef100_A0A1G7JLS8	UniRef100_A0A1G7JLS8	Cluster: Stage V sporulation protein AE	A0A1G7JLS8; UPI000B8A5AED	Sporolituus thermophilus DSM 23256; Sporolituus thermophilus	117	1123285; 608505
UniRef100_A0PZT0	UniRef100_A0PZT0	Cluster: Stage V sporulation protein AE	A0PZT0	Clostridium novyi (strain NT)	118	386415
UniRef100_R5EAI4	UniRef100_R5EAI4	Cluster: Stage V sporulation protein AE	R5EAI4	Clostridium sp. CAG:590	118	1262825
UniRef100_A0A3B9SSU4	UniRef100_A0A3B9SSU4	Cluster: Stage V sporulation protein AE	A0A3B9SSU4	Desulfotomaculum sp.	118	41211
UniRef100_A0A845STY2	UniRef100_A0A845STY2	Cluster: Stage V sporulation protein AE	A0A845STY2	Anaerotruncus colihominis	118	169435
UniRef100_A0A1Y4B6G2	UniRef100_A0A1Y4B6G2	Cluster: Stage V sporulation protein AE	A0A1Y4B6G2; A0A143XJA8; A0A7X3HEP9	Eubacterium sp. An3; Eubacteriaceae bacterium CHKCI004; Pseudomonas otitidis	118	1965628; 1780380; 319939
UniRef100_R7F9H4	UniRef100_R7F9H4	Cluster: Stage V sporulation protein AE	R7F9H4; UPI001D027987	Ruminococcus sp. CAG:330; Ruminococcus callidus	119	1262954; 40519
UniRef100_UPI000F0577FB	UniRef100_UPI000F0577FB	Cluster: stage V sporulation protein AE	UPI000F0577FB	Intestinibacillus sp. Marseille-P6563	120	2364792
UniRef100_N2ACA7	UniRef100_N2ACA7	Cluster: Stage V sporulation protein AE	N2ACA7	Eubacterium plexicaudatum ASF492	118	1235802
UniRef100_UPI0013D6D644	UniRef100_UPI0013D6D644	Cluster: stage V sporulation protein AE	UPI0013D6D644	Clostridium sporogenes	118	1509
UniRef100_R7M952	UniRef100_R7M952	Cluster: Stage V sporulation protein AE	R7M952	Clostridium sp. CAG:567	128	1262820
UniRef100_UPI0009318FDC	UniRef100_UPI0009318FDC	Cluster: SpoVA/SpoVAEb family sporulation membrane protein	UPI0009318FDC	Clostridium sp. Marseille-P3244	118	1871020
UniRef100_A0A7C6WAP0	UniRef100_A0A7C6WAP0	Cluster: Stage V sporulation protein AE	A0A7C6WAP0	Firmicutes bacterium	116	1879010
UniRef100_A0A3C2DWP4	UniRef100_A0A3C2DWP4	Cluster: Stage V sporulation protein AE	A0A3C2DWP4	Oscillospiraceae bacterium	117	2485925
UniRef100_UPI001C0C77A9	UniRef100_UPI001C0C77A9	Cluster: stage V sporulation protein AE	UPI001C0C77A9	Clostridium bowmanii	119	132925
UniRef100_A0A1V4J0D2	UniRef100_A0A1V4J0D2	Cluster: SpoVA protein	A0A1V4J0D2	Clostridium chromiireducens	117	225345
UniRef100_A0A419G8F4	UniRef100_A0A419G8F4	Cluster: Stage V sporulation protein AE	A0A419G8F4	Peptococcaceae bacterium	118	2052179
UniRef100_UPI0013731E08	UniRef100_UPI0013731E08	Cluster: stage V sporulation protein AE	UPI0013731E08	Acutalibacter sp. 1XD8-36	118	2320852
UniRef100_R7FAY4	UniRef100_R7FAY4	Cluster: Uncharacterized protein	R7FAY4; A0A1Q6K288	Clostridium sp. CAG:354; Clostridium sp. CAG:354_28_25	131	1262799; 1896989
UniRef100_R9LVJ6	UniRef100_R9LVJ6	Cluster: Stage V sporulation protein AE	R9LVJ6; A0A3A9J2U2	Anaerotruncus sp. G3(2012); Anaerotruncus sp. 1XD22-93	122	1235835; 2320082
UniRef100_R6JR46	UniRef100_R6JR46	Cluster: Stage V sporulation protein AE	R6JR46	Clostridium sp. CAG:217	117	1262779
UniRef100_A0A1C6CMC1	UniRef100_A0A1C6CMC1	Cluster: Stage V sporulation protein AE	A0A1C6CMC1	uncultured Ruminococcus sp.	119	165186
UniRef100_A0A417AFL0	UniRef100_A0A417AFL0	Cluster: SpoVA/SpoVAEb family sporulation membrane protein	A0A417AFL0	Clostridium sp. AM45-5	118	2292306
UniRef100_A0A3C0STM8	UniRef100_A0A3C0STM8	Cluster: Stage V sporulation protein AE	A0A3C0STM8	Clostridium sp.	117	1506
UniRef100_UPI0011C8DECB	UniRef100_UPI0011C8DECB	Cluster: SpoVA/SpoVAEb family sporulation membrane protein	UPI0011C8DECB	Roseburia sp. BX0805	118	2763063
UniRef100_A0A1Q9K4T8	UniRef100_A0A1Q9K4T8	Cluster: Stage V sporulation protein AE	A0A1Q9K4T8	Anaerostipes sp. 992a	118	1261637
UniRef100_A0A3D4CBA1	UniRef100_A0A3D4CBA1	Cluster: Stage V sporulation protein AE	A0A3D4CBA1	Oscillospiraceae bacterium	117	2485925
UniRef100_B9YCA4	UniRef100_B9YCA4	Cluster: Stage V sporulation protein AE	B9YCA4; A0A412G470; A0A6N7S3U7	Holdemania filiformis DSM 12042; Holdemania filiformis; Holdemania massiliensis	118	545696; 61171; 1468449
UniRef100_A0A1H9Y786	UniRef100_A0A1H9Y786	Cluster: Stage V sporulation protein AE	A0A1H9Y786	[Clostridium] polysaccharolyticum	117	29364
UniRef100_A0A3A8ZSX4	UniRef100_A0A3A8ZSX4	Cluster: SpoVA/SpoVAEb family sporulation membrane protein	A0A3A8ZSX4	bacterium 0.1xD8-71	118	2320099
UniRef100_UPI0007E03897	UniRef100_UPI0007E03897	Cluster: stage V sporulation protein AE	UPI0007E03897	Clostridium botulinum	118	1491
UniRef100_UPI001105F583	UniRef100_UPI001105F583	Cluster: stage V sporulation protein AE	UPI001105F583	unclassified Clostridium	121	2614128
UniRef100_R7BEK5	UniRef100_R7BEK5	Cluster: Stage V sporulation protein AE	R7BEK5	Firmicutes bacterium CAG:341	135	1263019
UniRef100_UPI00195D4CC1	UniRef100_UPI00195D4CC1	Cluster: stage V sporulation protein AE	UPI00195D4CC1	Oscillibacter valericigenes	118	351091
UniRef100_A0A7M2RHE2	UniRef100_A0A7M2RHE2	Cluster: SpoVA/SpoVAEb family sporulation membrane protein	A0A7M2RHE2	Blautia liquoris	118	2779518
UniRef100_UPI001C100416	UniRef100_UPI001C100416	Cluster: stage V sporulation protein AE	UPI001C100416	Anaerostipes sp. MSJ-23	118	2841520
UniRef100_A0A6M0H171	UniRef100_A0A6M0H171	Cluster: Stage V sporulation protein AE	A0A6M0H171	Clostridium senegalense	118	1465809
UniRef100_A0A645IQV7	UniRef100_A0A645IQV7	Cluster: Uncharacterized protein	A0A645IQV7	bioreactor metagenome	117	1076179
UniRef100_A0A1W1XB50	UniRef100_A0A1W1XB50	Cluster: Stage V sporulation protein AE	A0A1W1XB50	Clostridium acidisoli DSM 12555	118	1121291
UniRef100_A0A1I5RR59	UniRef100_A0A1I5RR59	Cluster: Stage V sporulation protein AE	A0A1I5RR59	Oscillibacter sp. PC13	118	1855299
UniRef100_A0A416NCV0	UniRef100_A0A416NCV0	Cluster: Stage V sporulation protein AE	A0A416NCV0; A0A416P7T0; A0A417KNB4; A0A416DCC9; A0A396MD77	Butyricicoccus sp. AF24-19AC; Butyricicoccus sp. AF22-28AC; Butyricicoccus sp. TM10-16AC; Butyricicoccus sp. AF35-5AC; Butyricicoccus sp. AF15-40	118	2292199; 2292198; 2292302; 2292003; 2292197
UniRef100_A0A3E2WN36	UniRef100_A0A3E2WN36	Cluster: Stage V sporulation protein AE	A0A3E2WN36	Enterocloster aldenensis	117	358742
UniRef100_A0A415XRM7	UniRef100_A0A415XRM7	Cluster: SpoVA/SpoVAEb family sporulation membrane protein	A0A415XRM7	Clostridium sp. AM16-23	118	2292008
UniRef100_A0A1Y4LMS5	UniRef100_A0A1Y4LMS5	Cluster: Stage V sporulation protein AE	A0A1Y4LMS5	Pseudoflavonifractor sp. An184	118	1965576
UniRef100_UPI001032796D	UniRef100_UPI001032796D	Cluster: stage V sporulation protein AE	UPI001032796D	Intestinimonas timonensis	122	1689270
UniRef100_A0A1Q6R847	UniRef100_A0A1Q6R847	Cluster: Stage V sporulation protein AE	A0A1Q6R847	Firmicutes bacterium CAG:176_63_11	118	1897031
UniRef100_A0A1C6E2S9	UniRef100_A0A1C6E2S9	Cluster: Stage V sporulation protein AE	A0A1C6E2S9	uncultured Flavonifractor sp.	122	1193534
UniRef100_A0A150FP34	UniRef100_A0A150FP34	Cluster: Stage V sporulation protein AE	A0A150FP34	[Clostridium] paradoxum JW-YL-7 = DSM 7308	118	1121328
UniRef100_A0A3D3FB21	UniRef100_A0A3D3FB21	Cluster: Stage V sporulation protein AE	A0A3D3FB21	Oscillospiraceae bacterium	118	2485925
UniRef100_UPI001959325E	UniRef100_UPI001959325E	Cluster: stage V sporulation protein AE	UPI001959325E	Intestinimonas butyriciproducens	122	1297617
UniRef100_R5YTC7	UniRef100_R5YTC7	Cluster: SpoVA protein	R5YTC7; A0A1Q6TGI5	Roseburia sp. CAG:197; Roseburia sp. CAG:197_41_10	119	1262943; 1897018
UniRef100_A0A6N9PYX4	UniRef100_A0A6N9PYX4	Cluster: Stage V sporulation protein AE	A0A6N9PYX4	Neglectibacter sp. 59	118	2304573
UniRef100_A0A1M5AFP9	UniRef100_A0A1M5AFP9	Cluster: Stage V sporulation protein AE	A0A1M5AFP9	Desulfotomaculum putei DSM 12395	117	1121429
UniRef100_UPI0013E97FE7	UniRef100_UPI0013E97FE7	Cluster: stage V sporulation protein AE	UPI0013E97FE7	Clostridium estertheticum	119	238834
UniRef100_R7JPG5	UniRef100_R7JPG5	Cluster: Putative stage V sporulation protein AE	R7JPG5	Blautia sp. CAG:37	122	1262757
UniRef100_UPI00164B88F8	UniRef100_UPI00164B88F8	Cluster: SpoVA/SpoVAEb family sporulation membrane protein	UPI00164B88F8	Roseburia sp. NSJ-9	118	2763061
UniRef100_A0A174FSV2	UniRef100_A0A174FSV2	Cluster: Stage V sporulation protein AE	A0A174FSV2; A0A416SBQ0; A0A396P6Y2; A0A416U942; A0A416Y0E5; A0A373P357; A0A373RWE9; A0A416TEM5; A0A417SM28	Fusicatenibacter saccharivorans; Blautia sp. AF19-13LB; Blautia sp. TM10-2; Blautia sp. AF17-9LB; Blautia sp. AF14-40; Blautia sp. OF03-13; Blautia sp. AF26-2; Blautia sp. AF19-1; Blautia sp. OM05-6	122	1150298; 2292962; 2292990; 2292959; 2292958; 2292980; 2292966; 2292960; 2292983
UniRef100_A0A7U9MNI0	UniRef100_A0A7U9MNI0	Cluster: Uncharacterized protein	A0A7U9MNI0; A0A7J0B396	Lachnospiraceae bacterium; Muribaculaceae bacterium	118	1898203; 2498093
UniRef100_UPI000F642ABB	UniRef100_UPI000F642ABB	Cluster: stage V sporulation protein AE	UPI000F642ABB	Agathobaculum sp. Marseille-P7918	118	2479843
UniRef100_W6RXL2	UniRef100_W6RXL2	Cluster: Putative membrane protein	W6RXL2	Clostridium bornimense	118	1216932
UniRef100_A0A3D3S0E0	UniRef100_A0A3D3S0E0	Cluster: Stage V sporulation protein AE	A0A3D3S0E0; A0A417X196; A0A417C9P1	Lachnospiraceae bacterium; Blautia sp. OF09-25XD; Blautia sp. AM42-2	118	1898203; 2292981; 2292976
UniRef100_UPI00110F5270	UniRef100_UPI00110F5270	Cluster: stage V sporulation protein AE	UPI00110F5270	Alteribacter natronophilus	116	2583810
UniRef100_A5Z9F6	UniRef100_A5Z9F6	Cluster: Stage V sporulation protein AE	A5Z9F6; A0A413RYM9; K1SC28	Eubacterium ventriosum ATCC 27560; Eubacterium ventriosum; human gut metagenome	117	411463; 39496; 408170
UniRef100_A0A7C6PLR1	UniRef100_A0A7C6PLR1	Cluster: Stage V sporulation protein AE	A0A7C6PLR1	Firmicutes bacterium	120	1879010
UniRef100_A0A414R526	UniRef100_A0A414R526	Cluster: Stage V sporulation protein AE	A0A414R526	Eubacterium ventriosum	117	39496
UniRef100_C5EU91	UniRef100_C5EU91	Cluster: Stage V sporulation protein AE	C5EU91; A0A3A6HJ20	Clostridiales bacterium 1_7_47FAA; Clostridiales bacterium TF09-2AC	117	457421; 2302989
UniRef100_A0A415L531	UniRef100_A0A415L531	Cluster: Stage V sporulation protein AE	A0A415L531	Eubacterium ventriosum	117	39496
UniRef100_A0A1C6EM16	UniRef100_A0A1C6EM16	Cluster: Stage V sporulation protein AE	A0A1C6EM16	uncultured Flavonifractor sp.	122	1193534
UniRef100_A0A7K3ZGS5	UniRef100_A0A7K3ZGS5	Cluster: Stage V sporulation protein AE	A0A7K3ZGS5	Crenarchaeota archaeon	118	2056631
